ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
0,0,-0.0,1.41,-0.26,0.02,0.0,0.06,1,-0.01,1.41,-0.27,-0.01,0.01,0.11,-103.42511437782834
1,0,-0.01,1.41,-0.27,-0.01,0.01,0.11,0,-0.01,1.41,-0.27,-0.04,0.01,0.11,-103.42511437782834
2,0,-0.01,1.41,-0.27,-0.04,0.01,0.11,0,-0.01,1.41,-0.27,-0.06,0.02,0.11,-103.42511437782834
3,0,-0.01,1.41,-0.27,-0.06,0.02,0.11,0,-0.01,1.41,-0.27,-0.09,0.02,0.11,-103.42511437782834
4,0,-0.01,1.41,-0.27,-0.09,0.02,0.11,3,-0.02,1.4,-0.26,-0.12,0.03,0.07,-103.42511437782834
5,0,-0.02,1.4,-0.26,-0.12,0.03,0.07,2,-0.02,1.4,-0.28,-0.08,0.03,0.05,-103.42511437782834
6,0,-0.02,1.4,-0.28,-0.08,0.03,0.05,2,-0.02,1.4,-0.27,-0.07,0.03,0.06,-103.42511437782834
7,0,-0.02,1.4,-0.27,-0.07,0.03,0.06,2,-0.02,1.4,-0.28,-0.04,0.04,0.06,-103.42511437782834
8,0,-0.02,1.4,-0.28,-0.04,0.04,0.06,2,-0.03,1.4,-0.28,-0.02,0.04,0.06,-103.42511437782834
9,0,-0.03,1.4,-0.28,-0.02,0.04,0.06,0,-0.03,1.4,-0.28,-0.05,0.04,0.06,-103.42511437782834
10,0,-0.03,1.4,-0.28,-0.05,0.04,0.06,2,-0.03,1.4,-0.27,-0.02,0.05,0.07,-103.42511437782834
11,0,-0.03,1.4,-0.27,-0.02,0.05,0.07,1,-0.04,1.4,-0.28,-0.05,0.05,0.1,-103.42511437782834
12,0,-0.04,1.4,-0.28,-0.05,0.05,0.1,1,-0.04,1.39,-0.29,-0.08,0.06,0.15,-103.42511437782834
13,0,-0.04,1.39,-0.29,-0.08,0.06,0.15,3,-0.04,1.39,-0.29,-0.1,0.06,0.11,-103.42511437782834
14,0,-0.04,1.39,-0.29,-0.1,0.06,0.11,0,-0.04,1.39,-0.29,-0.13,0.07,0.11,-103.42511437782834
15,0,-0.04,1.39,-0.29,-0.13,0.07,0.11,1,-0.05,1.39,-0.29,-0.16,0.08,0.14,-103.42511437782834
